,title,date,location,area,year,rooms,total_price,unit_price,story,total_stories,elevator,parking,store
0,نوساز کیلید نخورده (۶۵متر ۱خواب) روبه آفتاب,۳ ساعت پیش در تهران,سازمان برنامه,۶۵,۱۴۰۰,۱,۵۹۰۰۰۰۰۰۰۰,۹۰۷۶۹۰۰۰,۲,۲,آسانسور,پارکینگ,انباری
1,سازمان برنامه/۸۴متر/۲خواب/,۳ ساعت پیش در تهران,سازمان برنامه,۸۴,۱۳۹۳,۲,۷۸۵۰۰۰۰۰۰۰,۹۳۴۵۲۰۰۰,۴,5,آسانسور,پارکینگ,انباری
2,فردوس/۵۹متر/آفتاب‌گیر/دنج نشین,۳ ساعت پیش در تهران,سازمان برنامه,۵۹,۱۳۹۷,۱,۵۲۳۰۰۰۰۰۰۰,۸۸۶۴۴۰۰۰,۳,5,آسانسور,پارکینگ,انباری
3,۱۷۵ متری / برج مجلل / غرب تهران,۴ ساعت پیش در تهران,سازمان برنامه,۱۷۵,۱۴۰۰,۳,۳۸۷۵۰۰۰۰۰۰۰,۲۲۱۴۲۸۰۰۰,۷,22,آسانسور,پارکینگ,انباری
4,۵۹متری آکواریم / لوکیشن خفن,۴ ساعت پیش در تهران,سازمان برنامه,۵۹,۱۳۸۳,۱,۴۲۳۰۰۰۰۰۰۰,۷۱۶۹۴۰۰۰,۲,۲,آسانسور ندارد,پارکینگ,انباری
5,۷۲ متر ۲ خواب/کم واحد و شیک,۴ ساعت پیش در تهران,سازمان برنامه,۷۲,۱۳۸۵,۲,۵۰۰۰۰۰۰۰۰۰,۶۹۴۴۴۰۰۰,۳,4,آسانسور ندارد,پارکینگ,انباری
6,۶۸متر فردوس غرب سازمان برنامه کم سن,۴ ساعت پیش در تهران,کوی فردوس,۶۸,۱۳۹۳,۲,۵۵۰۰۰۰۰۰۰۰,۸۰۸۸۲۰۰۰,۴,7,آسانسور,پارکینگ,انباری
7,۱۱۸ متر/فردوس غرب/تک واحدی,۴ ساعت پیش در تهران,سازمان برنامه,۱۱۸,۱۴۰۰,۳,۱۳۲۳۰۰۰۰۰۰۰,۱۱۲۱۱۸۰۰۰,۳,5,آسانسور,پارکینگ,انباری
8,فروش آپارتمان ۱۵۳ متری/سازمان برنامه مرکزی,۴ ساعت پیش در تهران,سازمان برنامه,۱۵۳,۱۳۹۶,۳,۱۵۹۰۰۰۰۰۰۰۰,۱۰۳۹۲۱۰۰۰,۳,۳,آسانسور,پارکینگ,انباری
9,۸۳متر۲خواب خوش نورنقشه بدون مشابه آیت اله کاشانی,۴ ساعت پیش در تهران,سازمان برنامه,۸۳,۱۳۹۱,۲,۸۷۰۰۰۰۰۰۰۰,۱۰۴۸۱۹۰۰۰,۵,5,آسانسور,پارکینگ,انباری
10,101متر/سالن روبه افتاب,۴ ساعت پیش در تهران,سازمان برنامه,۱۰۱,۱۳۸۳,۲,۶۴۵۰۰۰۰۰۰۰,۶۳۸۶۱۰۰۰,۳,۳,آسانسور ندارد,پارکینگ,انباری
11,102متر/سازمان برنامه شمالی/غرق نور,۴ ساعت پیش در تهران,سازمان برنامه,۱۰۲,۱۳۸۴,۲,۱۰۲۰۰۰۰۰۰۰۰,۱۰۰۰۰۰۰۰۰,۳,5,آسانسور,پارکینگ,انباری
12,105متر/سازمان برنامه/شیک,۴ ساعت پیش در تهران,سازمان برنامه,۱۰۵,۱۳۸۲,۲,۹۰۰۰۰۰۰۰۰۰,۸۵۷۱۴۰۰۰,۲,5,آسانسور,پارکینگ,انباری
13,۹۵ متر سازمان شمال+ ۲۰ متر تراس+ ۵۰ متر حیاط,۴ ساعت پیش در تهران,سازمان برنامه,۹۵,۱۳۸۰,۲,۸۷۰۰۰۰۰۰۰۰,۹۱۵۷۸۰۰۰,همکف,4,آسانسور ندارد,پارکینگ,انباری
14,سازمان برنامه شمالی ۱۱۹ متر ۲خواب + مستر فرصت خرید,۴ ساعت پیش در تهران,سازمان برنامه,۱۱۹,۱۴۰۲,۲,۱۶۲۰۰۰۰۰۰۰۰,۱۳۶۱۳۴۰۰۰,۶,۶,آسانسور,پارکینگ,انباری
